#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos10_101214_000_png_filaments,57547,1.983864,190.630486,0.689494,0.200742,22.072826,0.691700
Pos10_101214_001_png_filaments,60743,2.043380,198.768587,0.746247,0.158425,17.708955,0.417505
Pos10_101214_002_png_filaments,63064,1.955031,198.103726,0.763283,0.116191,21.208544,0.589521
Pos10_101214_003_png_filaments,63467,1.872721,194.507158,0.716144,0.142133,22.508012,0.437035
Pos10_101214_004_png_filaments,66042,1.811023,195.117918,0.698698,0.151786,20.189399,0.414405
Pos10_101214_005_png_filaments,67578,1.797575,196.639717,0.692035,0.155463,23.041135,0.470782
Pos10_101214_006_png_filaments,69734,1.938408,207.429227,0.680765,0.127369,20.455211,0.525933
Pos10_101214_007_png_filaments,64290,1.998326,202.222719,0.721038,0.094713,19.061573,0.388528
Pos10_101214_008_png_filaments,62422,1.995050,199.099787,0.708250,0.112411,22.009592,0.432496
Pos10_101214_009_png_filaments,61967,1.930208,195.122501,0.717701,0.084642,27.634383,0.357423
Pos10_101214_010_png_filaments,60415,1.834944,187.848988,0.701640,0.131856,23.356910,0.672602
Pos10_101214_011_png_filaments,68129,1.869591,201.355907,0.702466,0.085068,33.570044,0.343603
Pos10_101214_012_png_filaments,64531,2.007657,203.073858,0.682857,0.082749,27.893730,0.416110
Pos10_101214_013_png_filaments,66920,1.981858,205.465683,0.657094,0.095300,38.166276,0.508399
Pos10_101214_014_png_filaments,59933,1.963343,193.533504,0.750735,0.117940,28.414301,0.614384
Pos10_101214_015_png_filaments,60634,2.041082,198.478468,0.756803,0.131065,32.883204,0.704185
Pos10_101214_016_png_filaments,66031,2.127381,211.456791,0.780981,0.085366,19.288622,0.320147
Pos10_101214_017_png_filaments,65164,2.031595,205.280406,0.716075,0.101590,22.097153,0.319798
Pos10_101214_018_png_filaments,60649,2.068020,199.808635,0.721083,0.079188,40.724764,0.288043
Pos10_101214_019_png_filaments,58959,1.968796,192.220842,0.755446,0.144152,31.969033,0.630340
Pos10_101214_020_png_filaments,63951,1.900118,196.670408,0.760613,0.067342,33.921237,0.369455
Pos10_101214_021_png_filaments,68500,1.947337,206.058677,0.697285,0.068034,27.590879,0.532179
Pos10_101214_022_png_filaments,68578,1.971098,207.430006,0.723338,0.047119,29.262649,0.288280
Pos10_101214_023_png_filaments,66409,1.912333,201.057507,0.780945,0.037646,38.565169,0.245453
Pos10_101214_024_png_filaments,62739,1.959708,197.828811,0.802540,0.051373,31.835454,0.406596
Pos10_101214_025_png_filaments,61272,2.046585,199.788729,0.794787,0.089723,21.847493,0.432697
Pos10_101214_026_png_filaments,60687,2.074760,200.196661,0.827072,0.000000,0.000000,0.000000
Pos10_101214_027_png_filaments,62772,2.105170,205.093375,0.748682,0.053280,14.843897,0.322506
Pos10_101214_028_png_filaments,64850,2.027536,204.580549,0.731671,0.036877,40.716500,0.353695
Pos10_101214_029_png_filaments,64008,2.027689,203.255761,0.792380,0.041638,18.740228,0.548534
Pos10_101214_030_png_filaments,64872,2.144355,210.427284,0.833843,0.000000,0.000000,0.000000
Pos10_101214_031_png_filaments,68228,2.215536,219.354116,0.835082,0.091365,10.292527,0.410329
Pos10_101214_032_png_filaments,65771,2.189609,214.104389,0.761895,0.030481,40.519917,0.417045
Pos10_101214_033_png_filaments,65777,2.322769,220.528693,0.743554,0.038245,12.498548,0.228885
Pos10_101214_034_png_filaments,64280,2.216231,212.946501,0.782910,0.041604,31.134997,0.317697
Pos10_101214_035_png_filaments,63305,2.296253,215.106700,0.812976,0.081681,14.292502,0.404996
Pos10_101214_036_png_filaments,67367,2.215740,217.975692,0.802020,0.044309,17.292416,0.295986
Pos10_101214_037_png_filaments,69499,2.258550,223.526591,0.802340,0.065078,15.330031,0.337698
Pos10_101214_038_png_filaments,73512,2.190092,226.378596,0.748386,0.050001,32.106944,0.298103
Pos10_101214_039_png_filaments,71413,2.226321,224.961186,0.746186,0.000000,0.000000,0.000000
Pos10_101214_040_png_filaments,70132,2.239321,223.584324,0.804634,0.000000,0.000000,0.000000
Pos10_101214_041_png_filaments,73213,2.113048,221.908453,0.739138,0.031876,49.771939,0.231530
Pos10_101214_042_png_filaments,74308,2.191099,227.653247,0.775683,0.059909,18.867365,0.292882
Pos10_101214_043_png_filaments,73444,2.129652,223.129784,0.785731,0.041678,14.233865,0.321441
Pos10_101214_044_png_filaments,73226,2.014791,216.706890,0.748136,0.000000,0.000000,0.000000
Pos10_101214_045_png_filaments,70619,2.146807,219.675865,0.807169,0.042220,15.324731,0.352188
