#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos22_210115_000_png_filaments,79440,1.044608,162.525441,0.407825,0.536288,34.465917,1.063196
Pos22_210115_001_png_filaments,80821,1.046110,164.049854,0.477843,0.685399,28.684009,1.113897
Pos22_210115_002_png_filaments,81960,1.035666,164.375050,0.458960,0.438780,31.177788,0.870938
Pos22_210115_003_png_filaments,82984,1.042835,165.970172,0.471751,0.753481,27.719006,1.029318
Pos22_210115_004_png_filaments,84111,1.042779,167.088900,0.391902,0.286732,26.750155,0.590369
Pos22_210115_005_png_filaments,83828,1.032869,166.013053,0.384544,0.595889,31.041506,1.005906
Pos22_210115_006_png_filaments,84350,1.022339,165.678087,0.493306,0.236884,28.348221,0.600074
Pos22_210115_007_png_filaments,85558,1.022657,166.886179,0.498080,0.295181,25.605972,0.671409
Pos22_210115_008_png_filaments,86120,1.003958,165.895592,0.457970,0.576212,26.919892,1.123533
Pos22_210115_009_png_filaments,85391,1.036960,167.885085,0.144083,0.264335,26.927350,0.715135
Pos22_210115_010_png_filaments,86471,1.048887,169.912236,0.109179,0.376358,29.731513,0.609723
Pos22_210115_011_png_filaments,87400,1.024897,168.857708,0.024607,0.258563,31.184281,0.735246
Pos22_210115_012_png_filaments,87239,1.049242,170.693992,-0.249460,0.200503,13.885604,0.678735
Pos22_210115_013_png_filaments,86274,1.060893,170.687148,0.042160,0.397452,24.857118,1.197767
Pos22_210115_014_png_filaments,87383,1.065672,172.167160,0.391338,0.284780,26.784329,0.671761
Pos22_210115_015_png_filaments,87225,1.082376,173.354304,0.381416,0.295536,28.881772,0.678348
Pos22_210115_016_png_filaments,89144,1.078244,174.916044,0.376346,0.190646,30.967700,0.525020
Pos22_210115_017_png_filaments,88454,1.103291,176.249884,0.371441,0.152801,30.375710,0.657730
Pos22_210115_018_png_filaments,87498,1.067284,172.410664,0.386132,0.178012,26.721272,0.707127
Pos22_210115_019_png_filaments,87130,1.063805,171.767080,0.505927,0.139910,34.091603,0.475699
Pos22_210115_020_png_filaments,87870,1.028474,169.606321,0.598934,0.143592,22.394624,0.575510
Pos22_210115_021_png_filaments,87244,1.017511,168.097945,-0.632076,0.180497,16.536360,0.878186
Pos22_210115_022_png_filaments,89206,1.035678,171.488290,0.191937,0.068252,23.116923,0.392780
Pos22_210115_023_png_filaments,90239,1.034366,172.369062,0.299990,0.126689,24.600941,0.356594
Pos22_210115_024_png_filaments,91798,1.048958,175.073624,0.098532,0.161375,23.057551,0.524784
Pos22_210115_025_png_filaments,91024,1.053543,174.714582,-0.125158,0.199368,22.620365,0.794691
Pos22_210115_026_png_filaments,92073,1.015586,172.524017,-0.301726,0.105600,17.605494,0.639961
Pos22_210115_027_png_filaments,89779,1.029832,171.551941,0.504168,0.239889,26.019864,0.892595
